time,child,adult,elderly
2023/1/1,1.252,0.306,0.024
2023/2/1,6.926,1.176,0.048
2023/3/1,1.994,0.644,0.158
2023/4/1,0.014,0.022,0
2023/5/1,0,0.004,0
2023/6/1,0,0,0
2023/7/1,0,0,0
2023/8/1,2.578,0.248,0.058
2023/9/1,33.666,3.95,0.994
2023/10/1,45.444,6.004,1.59
2023/11/1,37.37,4.038,1.25
2023/12/1,12.822,2.286,1.3
2024/1/1,7.706,0.86,0.214
2024/2/1,1.278,0.168,0.042
2024/3/1,0.964,0.144,0.046
2024/4/1,0.192,0.124,0.02
2024/5/1,0.004,0.008,0
2024/6/1,0,0,0
2024/7/1,0.004,0,0
2024/8/1,16.536,1.722,0.214
2024/9/1,37.906,2.776,0.856
2024/10/1,29.624,4.75,1.302
2024/11/1,13.902,2.96,0.766
2024/12/1,5.896,0.904,0.26
2025/1/1,3.688,1.608,0.334
2025/2/1,2.226,0.68,0.116
2025/3/1,0.486,0.084,0.022
2025/4/1,0.046,0.014,0.004
2025/5/1,0,0.004,0
2025/6/1,0,0,0
2025/7/1,0,0,0
