week,ili_2022,positivity_2022,ili_2023,positivity_2023,ili_2024,positivity_2024,ili_2025,positivity_2025
31,4.20%,2.50%,4.20%,7.40%,3.50%,1.50%,3.97%,3.80%
32,4.30%,3.60%,3.90%,6.40%,3.50%,1.70%,3.90%,3.90%
33,4.10%,3.80%,3.60%,6.30%,3.40%,1.90%,3.70%,4.00%
34,4.00%,4.70%,3.20%,4.80%,3.20%,2.40%,3.47%,3.97%
35,3.90%,4.10%,3.10%,4.50%,3.10%,2.70%,3.37%,3.77%
36,4.30%,5.00%,3.20%,4.20%,3.40%,2.80%,3.63%,4.00%
37,4.70%,5.50%,3.50%,5.30%,3.60%,3.30%,3.93%,4.70%
38,5.20%,7.40%,3.70%,5.10%,3.80%,3.60%,4.23%,5.37%
39,5.60%,8.40%,3.70%,5.00%,3.80%,4.30%,4.37%,5.90%
40,5.30%,10.00%,4.10%,4.70%,4.40%,4.80%,4.60%,6.50%
41,4.80%,11.30%,3.30%,4.00%,4.10%,5.40%,4.07%,6.90%
42,5.30%,15.60%,3.20%,3.50%,3.80%,6.50%,4.10%,8.53%
43,5.70%,18.60%,3.30%,4.60%,4.10%,10.00%,4.37%,11.07%
44,6.00%,22.50%,3.40%,4.90%,4.60%,16.50%,4.67%,14.63%
45,5.70%,26.80%,3.60%,4.40%,5.50%,22.40%,4.93%,17.87%
46,6.40%,34.50%,3.60%,5.40%,6.70%,30.70%,5.57%,23.53%
47,8.10%,44.30%,3.40%,7.80%,7.80%,38.90%,6.43%,30.33%
48,8.70%,50.60%,3.50%,9.10%,10.30%,47.50%,7.50%,35.73%
49,9.40%,54.10%,3.60%,11.50%,11.10%,54.50%,8.03%,40.03%
50,9.10%,55.20%,4.00%,11.80%,9.70%,53.70%,7.60%,40.23%
51,9.20%,51.70%,4.70%,17.50%,7.60%,48.00%,7.17%,39.07%
52,10.50%,54.20%,5.70%,24.50%,6.10%,41.90%,7.43%,40.20%
1,10.20%,52.50%,7.20%,31.90%,5.40%,35.80%,7.60%,40.07%
2,9.10%,48.50%,6.90%,35.80%,4.80%,30.30%,6.93%,38.20%
3,8.20%,39.70%,6.50%,35.10%,4.70%,27.60%,6.47%,34.13%
4,7.20%,32.60%,5.30%,34.40%,4.30%,24.20%,5.60%,30.40%
5,6.70%,32.40%,7.40%,32.20%,4.00%,19.30%,6.03%,27.97%
6,7.20%,31.70%,5.50%,31.70%,3.30%,15.00%,5.33%,26.13%
7,7.70%,31.60%,4.70%,30.00%,3.60%,10.90%,5.33%,24.17%
8,6.20%,29.70%,4.30%,26.10%,4.80%,10.40%,5.10%,22.07%
9,5.60%,25.40%,4.20%,20.70%,3.00%,10.10%,4.27%,18.73%
10,6.20%,26.00%,3.90%,13.30%,2.80%,9.00%,4.30%,16.10%
11,6.20%,22.30%,4.00%,9.80%,3.00%,9.00%,4.40%,13.70%
12,6.00%,18.50%,4.10%,6.20%,3.30%,10.90%,4.47%,11.87%
13,5.60%,16.90%,4.10%,4.30%,3.50%,10.70%,4.40%,10.63%
