week,ili_2022,positivity_2022,ili_2023,positivity_2023,ili_2024,positivity_2024,ili_2025,positivity_2025
31,4.10%,25.90%,4.20%,2.50%,4.20%,7.40%,4.20%,4.95%
32,3.80%,23.20%,4.30%,3.60%,3.90%,6.40%,4.10%,5.00%
33,3.30%,17.50%,4.10%,3.80%,3.60%,6.30%,3.85%,5.05%
34,3.00%,13.10%,4.00%,4.70%,3.20%,4.80%,3.60%,4.75%
35,2.90%,10.30%,3.90%,4.10%,3.10%,4.50%,3.50%,4.30%
36,3.50%,10.90%,4.30%,5.00%,3.20%,4.20%,3.75%,4.60%
37,3.40%,10.10%,4.70%,5.50%,3.50%,5.30%,4.10%,5.40%
38,3.20%,8.50%,5.20%,7.40%,3.70%,5.10%,4.45%,6.25%
39,3.20%,7%,5.60%,8.40%,3.70%,5.00%,4.65%,6.70%
40,3.00%,7.50%,5.30%,10.00%,4.10%,4.70%,4.70%,7.35%
41,3.00%,5.40%,4.80%,11.30%,3.30%,4.00%,4.05%,7.65%
42,3.20%,4.90%,5.30%,15.60%,3.20%,3.50%,4.25%,9.55%
43,3.20%,6.10%,5.70%,18.60%,3.30%,4.60%,4.50%,11.60%
44,3.10%,6.50%,6.00%,22.50%,3.40%,4.90%,4.70%,13.70%
45,3.20%,6.20%,5.70%,26.80%,3.60%,4.40%,4.65%,15.60%
46,3.10%,6.80%,6.40%,34.50%,3.60%,5.40%,5.00%,19.95%
47,3.40%,7.60%,8.10%,44.30%,3.40%,7.80%,5.75%,26.05%
48,3.20%,9.20%,8.70%,50.60%,3.50%,9.10%,6.10%,29.85%
49,3.80%,10.30%,9.40%,54.10%,3.60%,11.50%,6.50%,32.80%
50,9.20%,5.80%,9.10%,55.20%,4.00%,11.80%,6.55%,33.50%
51,13.20%,0.90%,9.20%,51.70%,4.70%,17.50%,6.95%,34.60%
52,8.50%,0.10%,10.50%,54.20%,5.70%,24.50%,8.10%,39.35%
1,3.80%,0.04%,10.20%,52.50%,7.20%,31.90%,8.70%,42.20%
2,2.20%,0.20%,9.10%,48.50%,6.90%,35.80%,8.00%,42.15%
3,2.00%,0.10%,8.20%,39.70%,6.50%,35.10%,7.35%,37.40%
4,2.00%,0.10%,7.20%,32.60%,5.30%,34.40%,6.25%,33.50%
5,1.50%,0.40%,6.70%,32.40%,7.40%,32.20%,7.05%,32.30%
6,1.50%,1.30%,7.20%,31.70%,5.50%,31.70%,6.35%,31.70%
7,1.90%,4.90%,7.70%,31.60%,4.70%,30.00%,6.20%,30.80%
8,3.90%,17.70%,6.20%,29.70%,4.30%,26.10%,5.25%,27.90%
9,7.50%,33.40%,5.60%,25.40%,4.20%,20.70%,4.90%,23.05%
10,9.90%,48.80%,6.20%,26.00%,3.90%,13.30%,5.05%,19.65%
11,9.90%,53.40%,6.20%,22.30%,4.00%,9.80%,5.10%,16.05%
12,10.20%,59.20%,6.00%,18.50%,4.10%,6.20%,5.05%,12.35%
13,10.20%,59.60%,5.60%,16.90%,4.10%,4.30%,4.85%,10.60%
